guid,Payment Due,Adjusted Payment Received
2416D9B6-A2D9-D7F8-891D-62A387E71B99,2/27/23,2/27/23
2416D9B6-A2D9-D7F8-891D-62A387E71B99,3/27/23,3/27/23
2416D9B6-A2D9-D7F8-891D-62A387E71B99,4/27/23,4/27/23
2416D9B6-A2D9-D7F8-891D-62A387E71B99,5/27/23,5/27/23
2416D9B6-A2D9-D7F8-891D-62A387E71B99,6/27/23,6/27/23
2416D9B6-A2D9-D7F8-891D-62A387E71B99,7/27/23,7/27/23
2416D9B6-A2D9-D7F8-891D-62A387E71B99,8/27/23,8/27/23
2626239C-13E1-E127-F133-32E72639BA7B,6/18/23,6/18/23
2626239C-13E1-E127-F133-32E72639BA7B,7/18/23,7/18/23
2626239C-13E1-E127-F133-32E72639BA7B,8/18/23,8/18/23
2626239C-13E1-E127-F133-32E72639BA7B,9/18/23,9/18/23
2626239C-13E1-E127-F133-32E72639BA7B,10/18/23,10/18/23
2626239C-13E1-E127-F133-32E72639BA7B,11/18/23,11/18/23
2626239C-13E1-E127-F133-32E72639BA7B,12/18/23,12/18/23
2626239C-13E1-E127-F133-32E72639BA7B,1/18/24,1/18/24
2626239C-13E1-E127-F133-32E72639BA7B,2/18/24,2/18/24
2626239C-13E1-E127-F133-32E72639BA7B,3/18/24,3/18/24
2626239C-13E1-E127-F133-32E72639BA7B,4/18/24,4/18/24
2626239C-13E1-E127-F133-32E72639BA7B,5/18/24,5/18/24
26505A1E-472A-E4D4-7B7D-7433D3D4A0EC,3/16/23,3/16/23
26505A1E-472A-E4D4-7B7D-7433D3D4A0EC,4/16/23,4/16/23
26505A1E-472A-E4D4-7B7D-7433D3D4A0EC,5/16/23,5/16/23
26505A1E-472A-E4D4-7B7D-7433D3D4A0EC,6/16/23,6/16/23
26505A1E-472A-E4D4-7B7D-7433D3D4A0EC,7/16/23,7/16/23
26505A1E-472A-E4D4-7B7D-7433D3D4A0EC,8/16/23,8/16/23
26505A1E-472A-E4D4-7B7D-7433D3D4A0EC,9/16/23,9/16/23
26505A1E-472A-E4D4-7B7D-7433D3D4A0EC,10/16/23,10/16/23
26505A1E-472A-E4D4-7B7D-7433D3D4A0EC,11/16/23,11/16/23
26505A1E-472A-E4D4-7B7D-7433D3D4A0EC,12/16/23,12/16/23
26505A1E-472A-E4D4-7B7D-7433D3D4A0EC,1/16/24,1/16/24
26505A1E-472A-E4D4-7B7D-7433D3D4A0EC,2/16/24,2/16/24
2949B349-5AC0-6B3A-D198-E4C67C849C55,9/20/23,9/22/23
2949B349-5AC0-6B3A-D198-E4C67C849C55,6/20/23,6/23/23
2949B349-5AC0-6B3A-D198-E4C67C849C55,12/20/23,12/24/23
2949B349-5AC0-6B3A-D198-E4C67C849C55,5/20/23,5/25/23
2949B349-5AC0-6B3A-D198-E4C67C849C55,1/20/24,1/25/24
2949B349-5AC0-6B3A-D198-E4C67C849C55,4/20/23,4/26/23
2949B349-5AC0-6B3A-D198-E4C67C849C55,2/20/23,2/27/23
2949B349-5AC0-6B3A-D198-E4C67C849C55,7/20/23,7/27/23
2949B349-5AC0-6B3A-D198-E4C67C849C55,8/20/23,8/27/23
2949B349-5AC0-6B3A-D198-E4C67C849C55,11/20/23,11/27/23
2949B349-5AC0-6B3A-D198-E4C67C849C55,3/20/23,3/29/23
2949B349-5AC0-6B3A-D198-E4C67C849C55,10/20/23,10/30/23
2A4565DC-068D-4D31-EE8A-265B4897A703,8/29/23,8/31/23
2A4565DC-068D-4D31-EE8A-265B4897A703,6/29/23,7/2/23
2A4565DC-068D-4D31-EE8A-265B4897A703,11/29/23,12/2/23
2A4565DC-068D-4D31-EE8A-265B4897A703,2/29/24,3/4/24
2A4565DC-068D-4D31-EE8A-265B4897A703,12/29/23,1/6/24
2A4565DC-068D-4D31-EE8A-265B4897A703,3/29/24,4/6/24
2A4565DC-068D-4D31-EE8A-265B4897A703,7/29/23,8/7/23
2A4565DC-068D-4D31-EE8A-265B4897A703,9/29/23,10/9/23
2A4565DC-068D-4D31-EE8A-265B4897A703,10/29/23,11/8/23
2A4565DC-068D-4D31-EE8A-265B4897A703,5/29/24,6/8/24
2A4565DC-068D-4D31-EE8A-265B4897A703,1/29/24,2/9/24
2A4565DC-068D-4D31-EE8A-265B4897A703,4/29/24,5/10/24
2BA0D20A-99FA-BFD6-3854-6E2493A79A5B,3/4/23,3/4/23
2BA0D20A-99FA-BFD6-3854-6E2493A79A5B,4/4/23,4/4/23
2BA0D20A-99FA-BFD6-3854-6E2493A79A5B,5/4/23,5/4/23
2BA0D20A-99FA-BFD6-3854-6E2493A79A5B,6/4/23,6/4/23
2BA0D20A-99FA-BFD6-3854-6E2493A79A5B,7/4/23,7/4/23
2BA0D20A-99FA-BFD6-3854-6E2493A79A5B,8/4/23,8/4/23
2BA0D20A-99FA-BFD6-3854-6E2493A79A5B,9/4/23,9/4/23
2BA0D20A-99FA-BFD6-3854-6E2493A79A5B,10/4/23,10/4/23
2BA0D20A-99FA-BFD6-3854-6E2493A79A5B,11/4/23,11/4/23
2BA0D20A-99FA-BFD6-3854-6E2493A79A5B,12/4/23,12/4/23
2BA0D20A-99FA-BFD6-3854-6E2493A79A5B,1/4/24,1/4/24
2BA0D20A-99FA-BFD6-3854-6E2493A79A5B,2/4/24,2/4/24
2CD64BB9-A1E0-8E43-2B86-367758EE1CF1,10/29/22,10/31/22
2CD64BB9-A1E0-8E43-2B86-367758EE1CF1,11/29/22,12/1/22
2CD64BB9-A1E0-8E43-2B86-367758EE1CF1,9/28/23,9/30/23
2CD64BB9-A1E0-8E43-2B86-367758EE1CF1,1/29/23,2/1/23
2CD64BB9-A1E0-8E43-2B86-367758EE1CF1,12/29/22,1/2/23
2CD64BB9-A1E0-8E43-2B86-367758EE1CF1,6/28/23,7/3/23
2CD64BB9-A1E0-8E43-2B86-367758EE1CF1,2/28/23,3/6/23
2CD64BB9-A1E0-8E43-2B86-367758EE1CF1,4/28/23,5/5/23
2CD64BB9-A1E0-8E43-2B86-367758EE1CF1,5/28/23,6/5/23
2CD64BB9-A1E0-8E43-2B86-367758EE1CF1,7/28/23,8/5/23
2CD64BB9-A1E0-8E43-2B86-367758EE1CF1,8/28/23,9/6/23
2CD64BB9-A1E0-8E43-2B86-367758EE1CF1,3/28/23,4/8/23
2E7D928D-7D50-C72F-11E5-7EEC4A0AE1E9,8/14/23,8/14/23
2E7D928D-7D50-C72F-11E5-7EEC4A0AE1E9,9/14/23,9/14/23
2E7D928D-7D50-C72F-11E5-7EEC4A0AE1E9,10/14/23,10/14/23
2E7D928D-7D50-C72F-11E5-7EEC4A0AE1E9,11/14/23,11/14/23
2E7D928D-7D50-C72F-11E5-7EEC4A0AE1E9,12/14/23,12/14/23
2E7D928D-7D50-C72F-11E5-7EEC4A0AE1E9,1/14/24,1/14/24
2E7D928D-7D50-C72F-11E5-7EEC4A0AE1E9,2/14/24,2/14/24
2E7D928D-7D50-C72F-11E5-7EEC4A0AE1E9,3/14/24,3/14/24
2E7D928D-7D50-C72F-11E5-7EEC4A0AE1E9,4/14/24,4/14/24
2E7D928D-7D50-C72F-11E5-7EEC4A0AE1E9,5/14/24,5/14/24
2E7D928D-7D50-C72F-11E5-7EEC4A0AE1E9,6/14/24,6/14/24
2E7D928D-7D50-C72F-11E5-7EEC4A0AE1E9,7/14/24,7/14/24
2EABBED9-1C03-38AB-3B35-321831BA49EB,5/29/23,5/31/23
2EABBED9-1C03-38AB-3B35-321831BA49EB,4/29/23,5/3/23
2EABBED9-1C03-38AB-3B35-321831BA49EB,8/29/23,9/2/23
2EABBED9-1C03-38AB-3B35-321831BA49EB,12/29/23,1/2/24
2EABBED9-1C03-38AB-3B35-321831BA49EB,6/29/23,7/4/23
2EABBED9-1C03-38AB-3B35-321831BA49EB,11/29/23,12/4/23
2EABBED9-1C03-38AB-3B35-321831BA49EB,2/29/24,3/6/24
2EABBED9-1C03-38AB-3B35-321831BA49EB,3/29/24,4/4/24
2EABBED9-1C03-38AB-3B35-321831BA49EB,10/29/23,11/6/23
2EABBED9-1C03-38AB-3B35-321831BA49EB,7/29/23,8/8/23
2EABBED9-1C03-38AB-3B35-321831BA49EB,9/29/23,10/9/23
2EABBED9-1C03-38AB-3B35-321831BA49EB,1/29/24,2/9/24
30BC32EA-8E77-5367-14C5-F33A0BED323C,9/26/22,9/26/22
30BC32EA-8E77-5367-14C5-F33A0BED323C,10/26/22,10/26/22
30BC32EA-8E77-5367-14C5-F33A0BED323C,11/26/22,11/26/22
30BC32EA-8E77-5367-14C5-F33A0BED323C,12/26/22,12/26/22
30BC32EA-8E77-5367-14C5-F33A0BED323C,1/26/23,1/26/23
30BC32EA-8E77-5367-14C5-F33A0BED323C,2/26/23,2/26/23
30BC32EA-8E77-5367-14C5-F33A0BED323C,3/26/23,3/26/23
30BC32EA-8E77-5367-14C5-F33A0BED323C,4/26/23,4/26/23
30BC32EA-8E77-5367-14C5-F33A0BED323C,5/26/23,5/26/23
30BC32EA-8E77-5367-14C5-F33A0BED323C,6/26/23,6/26/23
30BC32EA-8E77-5367-14C5-F33A0BED323C,7/26/23,7/26/23
30BC32EA-8E77-5367-14C5-F33A0BED323C,8/26/23,8/26/23
312850D2-68E0-338D-AD64-C1387B8D1211,12/28/23,12/28/23
312850D2-68E0-338D-AD64-C1387B8D1211,5/28/24,5/28/24
312850D2-68E0-338D-AD64-C1387B8D1211,9/28/23,10/1/23
312850D2-68E0-338D-AD64-C1387B8D1211,4/28/24,5/2/24
312850D2-68E0-338D-AD64-C1387B8D1211,8/28/23,9/3/23
312850D2-68E0-338D-AD64-C1387B8D1211,2/28/24,3/5/24
312850D2-68E0-338D-AD64-C1387B8D1211,3/28/24,4/3/24
312850D2-68E0-338D-AD64-C1387B8D1211,7/28/23,8/5/23
312850D2-68E0-338D-AD64-C1387B8D1211,10/28/23,11/5/23
312850D2-68E0-338D-AD64-C1387B8D1211,6/28/23,7/7/23
312850D2-68E0-338D-AD64-C1387B8D1211,11/28/23,12/7/23
312850D2-68E0-338D-AD64-C1387B8D1211,1/28/24,2/6/24
31599EC9-0EE8-DEAD-D6F4-735269AB2344,9/1/23,9/3/23
31599EC9-0EE8-DEAD-D6F4-735269AB2344,12/1/22,12/4/22
31599EC9-0EE8-DEAD-D6F4-735269AB2344,11/1/22,11/5/22
31599EC9-0EE8-DEAD-D6F4-735269AB2344,1/1/23,1/5/23
31599EC9-0EE8-DEAD-D6F4-735269AB2344,2/1/23,2/7/23
31599EC9-0EE8-DEAD-D6F4-735269AB2344,5/1/23,5/9/23
31599EC9-0EE8-DEAD-D6F4-735269AB2344,6/1/23,6/9/23
31599EC9-0EE8-DEAD-D6F4-735269AB2344,7/1/23,7/9/23
31599EC9-0EE8-DEAD-D6F4-735269AB2344,10/1/22,10/10/22
31599EC9-0EE8-DEAD-D6F4-735269AB2344,3/1/23,3/10/23
31599EC9-0EE8-DEAD-D6F4-735269AB2344,8/1/23,8/10/23
31599EC9-0EE8-DEAD-D6F4-735269AB2344,4/1/23,4/12/23
31E919C4-80E1-2AE9-9D64-55B2A8F65CD3,2/6/23,2/6/23
31E919C4-80E1-2AE9-9D64-55B2A8F65CD3,3/6/23,3/6/23
31E919C4-80E1-2AE9-9D64-55B2A8F65CD3,4/6/23,4/6/23
31E919C4-80E1-2AE9-9D64-55B2A8F65CD3,5/6/23,5/6/23
31E919C4-80E1-2AE9-9D64-55B2A8F65CD3,6/6/23,6/6/23
31E919C4-80E1-2AE9-9D64-55B2A8F65CD3,7/6/23,7/6/23
31E919C4-80E1-2AE9-9D64-55B2A8F65CD3,8/6/23,8/6/23
31E919C4-80E1-2AE9-9D64-55B2A8F65CD3,9/6/23,9/6/23
31E919C4-80E1-2AE9-9D64-55B2A8F65CD3,10/6/23,10/6/23
31E919C4-80E1-2AE9-9D64-55B2A8F65CD3,11/6/23,11/6/23
31E919C4-80E1-2AE9-9D64-55B2A8F65CD3,12/6/23,12/6/23
31E919C4-80E1-2AE9-9D64-55B2A8F65CD3,1/6/24,1/6/24
3286147D-D8B3-BCA9-0066-06FCFED30E1F,4/13/23,4/13/23
3286147D-D8B3-BCA9-0066-06FCFED30E1F,6/13/23,6/15/23
3286147D-D8B3-BCA9-0066-06FCFED30E1F,12/13/23,12/15/23
3286147D-D8B3-BCA9-0066-06FCFED30E1F,3/13/23,3/16/23
3286147D-D8B3-BCA9-0066-06FCFED30E1F,2/13/23,2/17/23
3286147D-D8B3-BCA9-0066-06FCFED30E1F,1/13/23,1/18/23
3286147D-D8B3-BCA9-0066-06FCFED30E1F,9/13/23,9/18/23
3286147D-D8B3-BCA9-0066-06FCFED30E1F,5/13/23,5/19/23
3286147D-D8B3-BCA9-0066-06FCFED30E1F,10/13/23,10/20/23
3286147D-D8B3-BCA9-0066-06FCFED30E1F,7/13/23,7/21/23
3286147D-D8B3-BCA9-0066-06FCFED30E1F,8/13/23,8/23/23
3286147D-D8B3-BCA9-0066-06FCFED30E1F,11/13/23,11/23/23
32D34D38-8B29-3189-6768-C4D564B8D2D8,2/15/24,2/17/24
32D34D38-8B29-3189-6768-C4D564B8D2D8,8/15/23,8/18/23
32D34D38-8B29-3189-6768-C4D564B8D2D8,5/15/23,5/19/23
32D34D38-8B29-3189-6768-C4D564B8D2D8,7/15/23,7/19/23
32D34D38-8B29-3189-6768-C4D564B8D2D8,10/15/23,10/20/23
32D34D38-8B29-3189-6768-C4D564B8D2D8,6/15/23,6/23/23
32D34D38-8B29-3189-6768-C4D564B8D2D8,1/15/24,1/23/24
32D34D38-8B29-3189-6768-C4D564B8D2D8,11/15/23,11/24/23
32D34D38-8B29-3189-6768-C4D564B8D2D8,12/15/23,12/25/23
32D34D38-8B29-3189-6768-C4D564B8D2D8,3/15/23,3/26/23
32D34D38-8B29-3189-6768-C4D564B8D2D8,4/15/23,4/26/23
32D34D38-8B29-3189-6768-C4D564B8D2D8,9/15/23,9/26/23
33443887-44DD-7A8D-9B0B-3B951971D233,3/17/24,3/17/24
33443887-44DD-7A8D-9B0B-3B951971D233,5/17/24,5/17/24
33443887-44DD-7A8D-9B0B-3B951971D233,10/17/23,10/19/23
33443887-44DD-7A8D-9B0B-3B951971D233,6/17/23,6/21/23
33443887-44DD-7A8D-9B0B-3B951971D233,1/17/24,1/21/24
33443887-44DD-7A8D-9B0B-3B951971D233,11/17/23,11/22/23
33443887-44DD-7A8D-9B0B-3B951971D233,2/17/24,2/23/24
33443887-44DD-7A8D-9B0B-3B951971D233,8/17/23,8/25/23
33443887-44DD-7A8D-9B0B-3B951971D233,12/17/23,12/26/23
33443887-44DD-7A8D-9B0B-3B951971D233,4/17/24,4/26/24
33443887-44DD-7A8D-9B0B-3B951971D233,7/17/23,7/27/23
33443887-44DD-7A8D-9B0B-3B951971D233,9/17/23,9/27/23
348822DA-110A-31EE-AA3E-D0B6054F7AE0,8/4/23,8/4/23
348822DA-110A-31EE-AA3E-D0B6054F7AE0,6/4/23,6/6/23
348822DA-110A-31EE-AA3E-D0B6054F7AE0,10/4/23,10/8/23
348822DA-110A-31EE-AA3E-D0B6054F7AE0,11/4/23,11/8/23
348822DA-110A-31EE-AA3E-D0B6054F7AE0,12/4/23,12/9/23
348822DA-110A-31EE-AA3E-D0B6054F7AE0,2/4/24,2/9/24
348822DA-110A-31EE-AA3E-D0B6054F7AE0,5/4/23,5/12/23
348822DA-110A-31EE-AA3E-D0B6054F7AE0,9/4/23,9/12/23
348822DA-110A-31EE-AA3E-D0B6054F7AE0,1/4/24,1/12/24
348822DA-110A-31EE-AA3E-D0B6054F7AE0,3/4/24,3/12/24
348822DA-110A-31EE-AA3E-D0B6054F7AE0,7/4/23,7/13/23
348822DA-110A-31EE-AA3E-D0B6054F7AE0,4/4/24,4/14/24
34A22093-4AC1-AA77-EDD9-ECC316038786,1/17/23,1/17/23
34A22093-4AC1-AA77-EDD9-ECC316038786,2/17/23,2/17/23
34A22093-4AC1-AA77-EDD9-ECC316038786,3/17/23,3/17/23
34A22093-4AC1-AA77-EDD9-ECC316038786,4/17/23,4/17/23
34A22093-4AC1-AA77-EDD9-ECC316038786,5/17/23,5/17/23
34A22093-4AC1-AA77-EDD9-ECC316038786,6/17/23,6/17/23
34A22093-4AC1-AA77-EDD9-ECC316038786,7/17/23,7/17/23
34A22093-4AC1-AA77-EDD9-ECC316038786,8/17/23,8/17/23
34A22093-4AC1-AA77-EDD9-ECC316038786,9/17/23,9/17/23
34A22093-4AC1-AA77-EDD9-ECC316038786,10/17/23,10/17/23
34A22093-4AC1-AA77-EDD9-ECC316038786,11/17/23,11/17/23
34A22093-4AC1-AA77-EDD9-ECC316038786,12/17/23,12/17/23
35B402C5-749D-3515-A48A-CD376372519D,7/22/23,7/22/23
35B402C5-749D-3515-A48A-CD376372519D,11/22/23,11/22/23
35B402C5-749D-3515-A48A-CD376372519D,4/22/24,4/22/24
35B402C5-749D-3515-A48A-CD376372519D,10/22/23,10/24/23
35B402C5-749D-3515-A48A-CD376372519D,1/22/24,1/24/24
35B402C5-749D-3515-A48A-CD376372519D,2/22/24,2/24/24
35B402C5-749D-3515-A48A-CD376372519D,6/22/23,6/25/23
35B402C5-749D-3515-A48A-CD376372519D,9/22/23,9/25/23
35B402C5-749D-3515-A48A-CD376372519D,12/22/23,12/25/23
35B402C5-749D-3515-A48A-CD376372519D,3/22/24,3/28/24
35B402C5-749D-3515-A48A-CD376372519D,5/22/23,5/30/23
35B402C5-749D-3515-A48A-CD376372519D,8/22/23,8/30/23
3817AA89-5879-9520-A789-2A78CB5D3965,7/29/23,7/29/23
3817AA89-5879-9520-A789-2A78CB5D3965,8/29/23,8/29/23
3817AA89-5879-9520-A789-2A78CB5D3965,9/29/23,9/29/23
3817AA89-5879-9520-A789-2A78CB5D3965,10/29/23,10/29/23
3817AA89-5879-9520-A789-2A78CB5D3965,11/29/23,11/29/23
3817AA89-5879-9520-A789-2A78CB5D3965,12/29/23,12/29/23
3817AA89-5879-9520-A789-2A78CB5D3965,1/29/24,1/29/24
3817AA89-5879-9520-A789-2A78CB5D3965,2/29/24,2/29/24
3817AA89-5879-9520-A789-2A78CB5D3965,3/29/24,3/29/24
3817AA89-5879-9520-A789-2A78CB5D3965,4/29/24,4/29/24
3817AA89-5879-9520-A789-2A78CB5D3965,5/29/24,5/29/24
3817AA89-5879-9520-A789-2A78CB5D3965,6/29/24,6/29/24
38B6D932-9A3B-7DDD-7809-689C3A23DC05,9/30/23,10/2/23
38B6D932-9A3B-7DDD-7809-689C3A23DC05,1/30/24,2/1/24
38B6D932-9A3B-7DDD-7809-689C3A23DC05,8/30/23,9/3/23
38B6D932-9A3B-7DDD-7809-689C3A23DC05,11/30/23,12/4/23
38B6D932-9A3B-7DDD-7809-689C3A23DC05,12/30/23,1/3/24
38B6D932-9A3B-7DDD-7809-689C3A23DC05,2/29/24,3/6/24
38B6D932-9A3B-7DDD-7809-689C3A23DC05,4/29/24,5/7/24
38B6D932-9A3B-7DDD-7809-689C3A23DC05,7/29/24,8/6/24
38B6D932-9A3B-7DDD-7809-689C3A23DC05,10/30/23,11/8/23
38B6D932-9A3B-7DDD-7809-689C3A23DC05,6/29/24,7/9/24
38B6D932-9A3B-7DDD-7809-689C3A23DC05,3/29/24,4/9/24
38B6D932-9A3B-7DDD-7809-689C3A23DC05,5/29/24,6/9/24
399929DE-13EB-626A-2E72-5C9E8AC33399,6/23/23,6/23/23
399929DE-13EB-626A-2E72-5C9E8AC33399,7/23/23,7/23/23
399929DE-13EB-626A-2E72-5C9E8AC33399,8/23/23,8/23/23
399929DE-13EB-626A-2E72-5C9E8AC33399,9/23/23,9/23/23
399929DE-13EB-626A-2E72-5C9E8AC33399,10/23/23,10/23/23
399929DE-13EB-626A-2E72-5C9E8AC33399,11/23/23,11/23/23
399929DE-13EB-626A-2E72-5C9E8AC33399,12/23/23,12/23/23
399929DE-13EB-626A-2E72-5C9E8AC33399,1/23/24,1/23/24
399929DE-13EB-626A-2E72-5C9E8AC33399,2/23/24,2/23/24
399929DE-13EB-626A-2E72-5C9E8AC33399,3/23/24,3/23/24
399929DE-13EB-626A-2E72-5C9E8AC33399,4/23/24,4/23/24
399929DE-13EB-626A-2E72-5C9E8AC33399,5/23/24,5/23/24
39BC5953-A5A7-FD3C-06DD-805C3E572A33,9/2/23,9/4/23
39BC5953-A5A7-FD3C-06DD-805C3E572A33,2/2/24,2/5/24
39BC5953-A5A7-FD3C-06DD-805C3E572A33,4/2/23,4/6/23
39BC5953-A5A7-FD3C-06DD-805C3E572A33,12/2/23,12/6/23
39BC5953-A5A7-FD3C-06DD-805C3E572A33,3/2/23,3/7/23
39BC5953-A5A7-FD3C-06DD-805C3E572A33,8/2/23,8/7/23
39BC5953-A5A7-FD3C-06DD-805C3E572A33,6/2/23,6/8/23
39BC5953-A5A7-FD3C-06DD-805C3E572A33,1/2/24,1/9/24
39BC5953-A5A7-FD3C-06DD-805C3E572A33,10/2/23,10/10/23
39BC5953-A5A7-FD3C-06DD-805C3E572A33,7/2/23,7/11/23
39BC5953-A5A7-FD3C-06DD-805C3E572A33,11/2/23,11/11/23
39BC5953-A5A7-FD3C-06DD-805C3E572A33,5/2/23,5/13/23
39C74F89-4963-0798-651C-09F6FF15D53E,5/16/23,5/18/23
39C74F89-4963-0798-651C-09F6FF15D53E,8/16/23,8/18/23
39C74F89-4963-0798-651C-09F6FF15D53E,9/16/23,9/18/23
39C74F89-4963-0798-651C-09F6FF15D53E,11/16/23,11/19/23
39C74F89-4963-0798-651C-09F6FF15D53E,6/16/23,6/20/23
39C74F89-4963-0798-651C-09F6FF15D53E,7/16/23,7/21/23
39C74F89-4963-0798-651C-09F6FF15D53E,1/16/24,1/24/24
39C74F89-4963-0798-651C-09F6FF15D53E,10/16/23,10/25/23
39C74F89-4963-0798-651C-09F6FF15D53E,12/16/23,12/25/23
39C74F89-4963-0798-651C-09F6FF15D53E,4/16/23,4/26/23
39C74F89-4963-0798-651C-09F6FF15D53E,2/16/24,2/27/24
39C74F89-4963-0798-651C-09F6FF15D53E,3/16/24,3/27/24
3EE88E40-755C-5CA9-E7BA-0A9B0F99B9C2,7/1/23,7/3/23
3EE88E40-755C-5CA9-E7BA-0A9B0F99B9C2,1/1/23,1/5/23
3EE88E40-755C-5CA9-E7BA-0A9B0F99B9C2,3/1/23,3/5/23
3EE88E40-755C-5CA9-E7BA-0A9B0F99B9C2,6/1/23,6/6/23
3EE88E40-755C-5CA9-E7BA-0A9B0F99B9C2,8/1/23,8/6/23
3EE88E40-755C-5CA9-E7BA-0A9B0F99B9C2,10/1/23,10/6/23
3EE88E40-755C-5CA9-E7BA-0A9B0F99B9C2,11/1/23,11/8/23
3EE88E40-755C-5CA9-E7BA-0A9B0F99B9C2,2/1/23,2/9/23
3EE88E40-755C-5CA9-E7BA-0A9B0F99B9C2,9/1/23,9/9/23
3EE88E40-755C-5CA9-E7BA-0A9B0F99B9C2,4/1/23,4/10/23
3EE88E40-755C-5CA9-E7BA-0A9B0F99B9C2,12/1/23,12/11/23
3EE88E40-755C-5CA9-E7BA-0A9B0F99B9C2,5/1/23,5/12/23
3F212B1E-EC8C-4CFA-01B9-61526D7DB425,3/10/23,3/10/23
3F212B1E-EC8C-4CFA-01B9-61526D7DB425,2/10/23,2/12/23
3F212B1E-EC8C-4CFA-01B9-61526D7DB425,8/10/23,8/12/23
3F212B1E-EC8C-4CFA-01B9-61526D7DB425,12/10/22,12/15/22
3F212B1E-EC8C-4CFA-01B9-61526D7DB425,11/10/22,11/16/22
3F212B1E-EC8C-4CFA-01B9-61526D7DB425,1/10/23,1/16/23
3F212B1E-EC8C-4CFA-01B9-61526D7DB425,9/10/22,9/17/22
3F212B1E-EC8C-4CFA-01B9-61526D7DB425,4/10/23,4/17/23
3F212B1E-EC8C-4CFA-01B9-61526D7DB425,5/10/23,5/17/23
3F212B1E-EC8C-4CFA-01B9-61526D7DB425,10/10/22,10/18/22
3F212B1E-EC8C-4CFA-01B9-61526D7DB425,6/10/23,6/20/23
3F212B1E-EC8C-4CFA-01B9-61526D7DB425,7/10/23,7/20/23
4033DDAA-C0E4-D20D-C05D-6876585ED585,7/11/23,7/13/23
4033DDAA-C0E4-D20D-C05D-6876585ED585,4/11/23,4/14/23
4033DDAA-C0E4-D20D-C05D-6876585ED585,10/11/22,10/15/22
4033DDAA-C0E4-D20D-C05D-6876585ED585,11/11/22,11/15/22
4033DDAA-C0E4-D20D-C05D-6876585ED585,12/11/22,12/17/22
4033DDAA-C0E4-D20D-C05D-6876585ED585,2/11/23,2/17/23
4033DDAA-C0E4-D20D-C05D-6876585ED585,8/11/23,8/17/23
4033DDAA-C0E4-D20D-C05D-6876585ED585,9/11/22,9/18/22
4033DDAA-C0E4-D20D-C05D-6876585ED585,5/11/23,5/20/23
4033DDAA-C0E4-D20D-C05D-6876585ED585,1/11/23,1/21/23
4033DDAA-C0E4-D20D-C05D-6876585ED585,3/11/23,3/21/23
4033DDAA-C0E4-D20D-C05D-6876585ED585,6/11/23,6/21/23
41952793-61A2-1524-E5CA-3B78B6938F8D,10/25/23,10/28/23
41952793-61A2-1524-E5CA-3B78B6938F8D,2/25/24,2/28/24
41952793-61A2-1524-E5CA-3B78B6938F8D,8/25/23,8/29/23
41952793-61A2-1524-E5CA-3B78B6938F8D,9/25/23,9/29/23
41952793-61A2-1524-E5CA-3B78B6938F8D,12/25/23,12/29/23
41952793-61A2-1524-E5CA-3B78B6938F8D,11/25/23,12/1/23
41952793-61A2-1524-E5CA-3B78B6938F8D,1/25/24,2/1/24
41952793-61A2-1524-E5CA-3B78B6938F8D,7/25/23,8/2/23
41952793-61A2-1524-E5CA-3B78B6938F8D,4/25/23,5/4/23
41952793-61A2-1524-E5CA-3B78B6938F8D,3/25/23,4/4/23
41952793-61A2-1524-E5CA-3B78B6938F8D,6/25/23,7/5/23
41952793-61A2-1524-E5CA-3B78B6938F8D,5/25/23,6/5/23
41B324B9-8838-E3A9-3845-B47FF45CBA17,9/13/22,9/15/22
41B324B9-8838-E3A9-3845-B47FF45CBA17,12/13/22,12/15/22
41B324B9-8838-E3A9-3845-B47FF45CBA17,2/13/23,2/15/23
41B324B9-8838-E3A9-3845-B47FF45CBA17,3/13/23,3/17/23
41B324B9-8838-E3A9-3845-B47FF45CBA17,11/13/22,11/18/22
41B324B9-8838-E3A9-3845-B47FF45CBA17,4/13/23,4/18/23
41B324B9-8838-E3A9-3845-B47FF45CBA17,6/13/23,6/20/23
41B324B9-8838-E3A9-3845-B47FF45CBA17,8/13/23,8/21/23
41B324B9-8838-E3A9-3845-B47FF45CBA17,1/13/23,1/22/23
41B324B9-8838-E3A9-3845-B47FF45CBA17,5/13/23,5/22/23
41B324B9-8838-E3A9-3845-B47FF45CBA17,10/13/22,10/24/22
41B324B9-8838-E3A9-3845-B47FF45CBA17,7/13/23,7/24/23
44E2D1DE-9EE9-C6F1-8432-0CCDD9E9DD18,5/5/23,5/5/23
44E2D1DE-9EE9-C6F1-8432-0CCDD9E9DD18,6/5/23,6/5/23
44E2D1DE-9EE9-C6F1-8432-0CCDD9E9DD18,7/5/23,7/5/23
44E2D1DE-9EE9-C6F1-8432-0CCDD9E9DD18,8/5/23,8/5/23
44E2D1DE-9EE9-C6F1-8432-0CCDD9E9DD18,9/5/23,9/5/23
44E2D1DE-9EE9-C6F1-8432-0CCDD9E9DD18,10/5/23,10/5/23
44E2D1DE-9EE9-C6F1-8432-0CCDD9E9DD18,11/5/23,11/5/23
44E2D1DE-9EE9-C6F1-8432-0CCDD9E9DD18,12/5/23,12/5/23
44E2D1DE-9EE9-C6F1-8432-0CCDD9E9DD18,1/5/24,1/5/24
44E2D1DE-9EE9-C6F1-8432-0CCDD9E9DD18,2/5/24,2/5/24
